substanceId,description
archive_cam_rec_r,"소장용으로 정리된 카메라와 녹음기 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_cam_rec_o,"소장용으로 정리된 카메라와 녹음기 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_cam_rec_h_r,"소장용으로 정리된 카메라와 녹음기 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_cam_rec_h_o,"소장용으로 정리된 카메라와 녹음기 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_cam_rec_r_h,"소장용으로 정리된 카메라와 녹음기 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_cam_rec_r_o,"소장용으로 정리된 카메라와 녹음기 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_cam_rec_o_h,"소장용으로 정리된 카메라와 녹음기 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_cam_rec_o_r,"소장용으로 정리된 카메라와 녹음기 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 영상과 소리가 함께 남아, 보인 것과 들린 것의 간격이 오히려 또렷해진다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_ultra_flash_h,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_ultra_flash_r,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_ultra_flash_o,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 회수는 성공했으나, 깊이 값은 마지막까지 확정되지 않았다."
archive_ultra_flash_h_r,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_ultra_flash_h_o,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_ultra_flash_r_h,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_ultra_flash_r_o,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_ultra_flash_o_h,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_ultra_flash_o_r,"소장용으로 정리된 초음파 센서와 손전등 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 빛과 초음파가 빈 공간을 동시에 더듬어, 어둠 속 구조를 비교적 안정적으로 남긴다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_all_h,"소장용으로 정리된 완전장비 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 끝에는 짧지만 살아 돌아왔다는 확인이 남아 있다."
archive_all_r,"소장용으로 정리된 완전장비 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_all_o,"소장용으로 정리된 완전장비 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 회수는 성공했으나, 깊이 값은 마지막까지 확정되지 않았다."
archive_all_h_r,"소장용으로 정리된 완전장비 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_all_h_o,"소장용으로 정리된 완전장비 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 관측자는 돌아왔지만, 구덩이 아래에서 들린 소리를 끝까지 설명하지 못했다."
archive_all_r_h,"소장용으로 정리된 완전장비 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_all_r_o,"소장용으로 정리된 완전장비 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_all_o_h,"소장용으로 정리된 완전장비 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_all_o_r,"소장용으로 정리된 완전장비 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 모든 장비가 동원되어 기록의 밀도는 높지만, 백룸의 귀환 위험까지 완전히 지워지지는 않는다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
